Sample_ID,Residual,Standardized_residuals,True_y,Predicted_y
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,0.0,-0.22483025315886512,4,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,1.6666666666666667,0.8993210126354605,3,1.3333333333333333
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,1.6666666666666667,0.8993210126354605,3,1.3333333333333333
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,-1.0,-0.8993210126354605,3,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,1.6666666666666667,0.8993210126354605,3,1.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,0.6666666666666667,0.22483025315886512,2,1.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,1.0,0.4496605063177302,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,0.6666666666666667,0.22483025315886512,2,1.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,-0.33333333333333326,-0.4496605063177302,1,1.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,-1.0,-0.8993210126354605,0,1.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,-1.0,-0.8993210126354605,0,1.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,-1.6666666666666667,-1.3489815189531906,0,1.6666666666666667
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,-1.3333333333333333,-1.1241512657943253,0,1.3333333333333333
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,0.6666666666666665,0.22483025315886498,4,3.3333333333333335
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,0.6666666666666665,0.22483025315886498,4,3.3333333333333335
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,0.6666666666666665,0.22483025315886498,4,3.3333333333333335
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,0.6666666666666665,0.22483025315886498,4,3.3333333333333335
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,1.3333333333333333,0.6744907594765952,3,1.6666666666666667
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,1.3333333333333335,0.6744907594765953,2,0.6666666666666666
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,0.33333333333333326,-7.488351710678246e-17,2,1.6666666666666667
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,0.33333333333333337,0.0,1,0.6666666666666666
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,-0.6666666666666667,-0.6744907594765953,1,1.6666666666666667
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,0.0,-0.22483025315886512,1,1.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,-0.6666666666666667,-0.6744907594765953,1,1.6666666666666667
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,-0.6666666666666666,-0.6744907594765953,0,0.6666666666666666
