Sample_ID,Probability_residual_leaf_1,Probability_residual_leaf_2,Probability_residual_leaf_3,Probability_residual_leaf_4,Probability_residual_leaf_5,Z-score_residual_leaf_1,Z-score_residual_leaf_2,Z-score_residual_leaf_3,Z-score_residual_leaf_4,Z-score_residual_leaf_5,Sum_of_absolute_residual,Root_sum_of_squared_residual,Shannon_entropy_of_absolute_residual,Mahalanobis_distance_of_residual,True_label,leaf_1_true,leaf_2_true,leaf_3_true,leaf_4_true,leaf_5_true,Predicted_label,leaf_1_predicted,leaf_2_predicted,leaf_3_predicted,leaf_4_predicted,leaf_5_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,0.6666666666666667,-0.6666666666666666,0.0,0.0,0.0,2.227945344485647,-2.2279453444856467,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.1939370640367675,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.1358152736593494,-1.1358152736593494,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.1324949146068326,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.1358152736593494,-1.1358152736593494,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.1324949146068326,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,-0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,-1.0484448679932457,1.0484448679932457,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0448396340276287,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,-0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,-1.0484448679932457,1.0484448679932457,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0448396340276287,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,0.0,0.0,0.33333333333333337,-0.3333333333333333,0.0,0.04368520283305186,-0.04368520283305193,1.0716517624676405,-0.8029550685469662,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0505323842026242,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,0.0,0.0,0.33333333333333337,-0.3333333333333333,0.0,0.04368520283305186,-0.04368520283305193,1.0716517624676405,-0.8029550685469662,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0505323842026242,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,0.0,0.0,0.33333333333333337,-0.3333333333333333,0.0,0.04368520283305186,-0.04368520283305193,1.0716517624676405,-0.8029550685469662,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0505323842026242,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,0.0,0.0,-0.3333333333333333,0.33333333333333337,0.0,0.04368520283305186,-0.04368520283305193,-1.4799000529315032,1.1088427137077155,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.4510707638943825,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,0.0,0.0,-0.6666666666666666,0.6666666666666667,0.0,0.04368520283305186,-0.04368520283305193,-2.755675960631075,2.0647416048350564,-3.845925372767128e-17,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.7008282361219864,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,0.0,0.0,0.0,-0.3333333333333333,0.33333333333333337,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,-0.8029550685469662,1.4433756729740645,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.4289814804855157,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,0.0,0.0,0.0,-0.3333333333333333,0.33333333333333337,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,-0.8029550685469662,1.4433756729740645,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.4289814804855157,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,0.0,0.0,0.0,-0.6666666666666666,0.6666666666666667,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,-1.758853959674307,2.886751345948129,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.835839923474274,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_4,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.1358152736593494,-1.1358152736593494,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.1324949146068326,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.1358152736593494,-1.1358152736593494,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.1324949146068326,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,-0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,-1.0484448679932457,1.0484448679932457,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0448396340276287,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,-1.0,1.0,0.0,0.0,0.0,-3.2327050096458407,3.2327050096458407,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,2.0,1.4142135623730951,0.43067655807339306,3.1720448904888365,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_1,1.0,0.0,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,-0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,-1.0484448679932457,1.0484448679932457,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.0448396340276287,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,0.0,0.0,0.6666666666666667,-0.6666666666666666,0.0,0.04368520283305186,-0.04368520283305193,2.3474276701672125,-1.758853959674307,-3.845925372767128e-17,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.3001080448302087,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,0.0,0.0,0.6666666666666667,-0.6666666666666666,0.0,0.04368520283305186,-0.04368520283305193,2.3474276701672125,-1.758853959674307,-3.845925372767128e-17,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.3001080448302087,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,0.0,0.0,0.0,0.6666666666666667,-0.6666666666666666,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,2.0647416048350564,-2.886751345948128,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.835839923474274,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_5,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,0.0,0.0,0.0,0.33333333333333337,-0.3333333333333333,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,1.1088427137077155,-1.443375672974064,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.4289814804855157,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,0.0,0.0,0.0,0.33333333333333337,-0.3333333333333333,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,1.1088427137077155,-1.443375672974064,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.4289814804855157,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,0.0,0.0,0.0,0.0,0.0,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.0,0.0,,0.2049099108646933,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.0,0.0,1.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,0.0,0.0,0.0,0.0,0.0,0.04368520283305186,-0.04368520283305193,-0.2041241452319315,0.15294382258037448,-3.845925372767128e-17,0.0,0.0,,0.2049099108646933,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.0,0.0,1.0
